,tripReadId,partnerName,cargoTonnage,asset_type,loadedDate,source_region,destination_region,source,destination,goodType,asset_size,totalDistance,month,currency,amount
5030,TP1154889,Adamani Kingston,15.0,Open,2021-08-14 16:26:00+00:00,north central,north central,KWARA,KWARA,FISH FEED,15.0,814625.0,August,NGN,20000.0
5031,TP1154063,YOMITE SUCCESS INVESTMENT LIMITED,30.0,Open,2021-08-09 11:25:00+00:00,south west,south west,LAGOS,LAGOS,OTHERS,30.0,12189.0,August,NGN,200000.0
5032,TP1154274,SIF-LOGISTICS,41.5,Open,2021-08-10 15:53:00+00:00,south south,north east,CROSS RIVER,GOMBE,CLINKA,40.0,1086380.0,August,NGN,913000.0
5033,TP1154899,BOLD AdePlus Multilogics,15.0,Covered,2021-08-14 18:47:00+00:00,south west,north central,LAGOS,KOGI,CORN FLOUR,15.0,466536.0,August,NGN,290000.0
5034,TP1154636,Kesworld Logistics Enterprise,30.0,Open,2021-08-12 15:49:00+00:00,south west,south west,LAGOS,OGUN,SUGAR,30.0,35360.0,August,NGN,223253.0
5035,TP1154820,Kesworld Logistics Enterprise,30.0,Open,2021-08-13 22:33:00+00:00,south west,south west,LAGOS,OGUN,SUGAR,30.0,33979.0,August,NGN,223253.0
5036,TP1153416,Proactive grand essentials limited,40.0,Flatbed,2021-08-04 18:58:00+00:00,north west,south west,KANO,LAGOS,OTHERS,40.0,1081391.0,August,NGN,340000.0
5037,TP1153960,SOA EMPIRE INTERNATIONAL LIMITED,40.0,Flatbed,2021-08-08 18:56:00+00:00,south west,south west,LAGOS,OGUN,RAW MATERIALS,40.0,0.0,August,NGN,440000.0
5038,TP1154414,SOA EMPIRE INTERNATIONAL LIMITED,50.0,Flatbed,2021-08-11 14:17:00+00:00,south west,south west,LAGOS,OGUN,RAW MATERIALS,40.0,38254.0,August,NGN,575000.0
5039,TP1154413,SOA EMPIRE INTERNATIONAL LIMITED,50.0,Flatbed,2021-08-11 14:20:00+00:00,south west,south west,LAGOS,OGUN,RAW MATERIALS,40.0,0.0,August,NGN,575000.0
5040,TP1154482,SOA EMPIRE INTERNATIONAL LIMITED,50.0,Flatbed,2021-08-11 21:40:00+00:00,south west,south west,LAGOS,OGUN,RAW MATERIALS,40.0,38254.0,August,NGN,575000.0
